mass_A
t,x,y
7.057050000E0,9.487937034E2,5.396996624E2
7.073733333E0,9.488655495E2,5.378842859E2
7.090416667E0,9.488093137E2,5.365887482E2
7.107100000E0,9.488348464E2,5.347853935E2
7.123783333E0,9.487247833E2,5.330190673E2
7.140466667E0,9.488203017E2,5.318209085E2
7.157150000E0,9.487872479E2,5.306386428E2
7.173833333E0,9.488194569E2,5.290095501E2
7.190516667E0,9.486556589E2,5.276559079E2
7.207200000E0,9.488454493E2,5.258476995E2
7.223883333E0,9.487367959E2,5.238879908E2
7.240566667E0,9.487262065E2,5.219937785E2
7.257250000E0,9.489235755E2,5.205653119E2
7.273933333E0,9.487538150E2,5.185914774E2
7.290616667E0,9.488750988E2,5.164242980E2
7.307300000E0,9.487758548E2,5.139275582E2
7.323983333E0,9.488132341E2,5.118073191E2
7.340666667E0,9.489464152E2,5.096165910E2
7.357350000E0,9.487563089E2,5.072897727E2
7.374033333E0,9.489042619E2,5.049599100E2
7.390716667E0,9.489397085E2,5.027478662E2
7.407400000E0,9.488085820E2,5.003125534E2
7.424083333E0,9.488742759E2,4.979485180E2
7.440766667E0,9.488798106E2,4.957284565E2
7.457450000E0,9.488473669E2,4.938606048E2
7.474133333E0,9.488197373E2,4.918233250E2
7.490816667E0,9.488549009E2,4.895023180E2
7.507500000E0,9.487707127E2,4.866671200E2
7.524183333E0,9.486405630E2,4.834849972E2
7.540866667E0,9.484726092E2,4.806858450E2
7.557550000E0,9.487609637E2,4.773920824E2
7.574233333E0,9.487343473E2,4.741015854E2
7.590916667E0,9.487039815E2,4.704002308E2
7.607600000E0,9.487793718E2,4.666903822E2
7.624283333E0,9.486483518E2,4.622733715E2
7.640966667E0,9.487038097E2,4.587543008E2
7.657650000E0,9.486563181E2,4.556496714E2
7.674333333E0,9.487198502E2,4.527577453E2
7.691016667E0,9.486443149E2,4.498190783E2
7.707700000E0,9.486824000E2,4.468266341E2
7.724383333E0,9.487761575E2,4.439613784E2
7.741066667E0,9.488145117E2,4.409584217E2
7.757750000E0,9.487293059E2,4.378330438E2
7.774433333E0,9.486038898E2,4.346296785E2
7.791116667E0,9.486531061E2,4.313618082E2
7.807800000E0,9.486997608E2,4.286659882E2
7.824483333E0,9.487268815E2,4.254150171E2
7.841166667E0,9.487989914E2,4.221538279E2
7.857850000E0,9.487806803E2,4.187992975E2
7.874533333E0,9.487633040E2,4.158140903E2
7.891216667E0,9.485132102E2,4.128658229E2
7.907900000E0,9.482681632E2,4.101195165E2
7.924583333E0,9.479799559E2,4.077262543E2
7.941266667E0,9.477879773E2,4.049143361E2
7.957950000E0,9.478774609E2,4.018956202E2
7.974633333E0,9.477818554E2,3.990598778E2
7.991316667E0,9.478042990E2,3.966600967E2
8.008000000E0,9.479030574E2,3.945568027E2
8.024683333E0,9.479206302E2,3.919589280E2
8.041366667E0,9.478639192E2,3.895433622E2
8.058050000E0,9.478644380E2,3.868559491E2
8.074733333E0,9.477999948E2,3.840025414E2
8.091416667E0,9.477245574E2,3.819045808E2
8.108100000E0,9.475755660E2,3.799318560E2
8.124783333E0,9.474601475E2,3.778934757E2
8.141466667E0,9.477088486E2,3.758808464E2
8.158150000E0,9.476310712E2,3.738341014E2
8.174833333E0,9.478003489E2,3.719850101E2
8.191516667E0,9.477969367E2,3.705159126E2
8.208200000E0,9.477063475E2,3.692950883E2
8.224883333E0,9.479019818E2,3.677627592E2
8.241566667E0,9.476210084E2,3.661575328E2
8.258250000E0,9.475509300E2,3.644885838E2
8.274933333E0,9.472814365E2,3.630316602E2
8.291616667E0,9.473129838E2,3.617807513E2
8.308300000E0,9.471923684E2,3.606536772E2
8.324983333E0,9.469929084E2,3.589834765E2
8.341666667E0,9.471583271E2,3.570152713E2
8.358350000E0,9.473622869E2,3.549312696E2
8.375033333E0,9.476276069E2,3.526062443E2
8.391716667E0,9.478460483E2,3.498046028E2
8.408400000E0,9.478312485E2,3.474718102E2
8.425083333E0,9.477374006E2,3.448413222E2
8.441766667E0,9.477709471E2,3.420237209E2
8.458450000E0,9.476288087E2,3.396498778E2
8.475133333E0,9.472333344E2,3.380383875E2
8.491816667E0,9.470968468E2,3.377761365E2
8.508500000E0,9.468328605E2,3.378116099E2
8.525183333E0,9.468183517E2,3.379328312E2
8.541866667E0,9.467223313E2,3.380814593E2
8.558550000E0,9.468424019E2,3.379896283E2
8.575233333E0,9.467966191E2,3.376721226E2
8.591916667E0,9.470951422E2,3.377388790E2
8.608600000E0,9.468727476E2,3.380070028E2
8.625283333E0,9.470690883E2,3.385725922E2
8.641966667E0,9.467779773E2,3.387725864E2
8.658650000E0,9.468015794E2,3.382752286E2
8.675333333E0,9.467363582E2,3.377058785E2
8.692016667E0,9.468746851E2,3.377119672E2
8.708700000E0,9.469652279E2,3.380540443E2
8.725383333E0,9.468054279E2,3.386361533E2
8.742066667E0,9.468064503E2,3.387405704E2
8.758750000E0,9.467693052E2,3.381664611E2
8.775433333E0,9.467547445E2,3.378327292E2
8.792116667E0,9.468235704E2,3.378736236E2
8.808800000E0,9.467328830E2,3.386913147E2
8.825483333E0,9.469247497E2,3.396555472E2
8.842166667E0,9.468763792E2,3.400348747E2
8.858850000E0,9.468067291E2,3.404199745E2
8.875533333E0,9.467517494E2,3.410892771E2
8.892216667E0,9.468648988E2,3.421397267E2
8.908900000E0,9.468923202E2,3.438161501E2
8.925583333E0,9.468932896E2,3.460578689E2
8.942266667E0,9.470275415E2,3.485184624E2
8.958950000E0,9.471222991E2,3.509202401E2
8.975633333E0,9.470964567E2,3.534763459E2
8.992316667E0,9.471789805E2,3.561140393E2
9.009000000E0,9.471963485E2,3.593648945E2
9.025683333E0,9.474743821E2,3.627022252E2
9.042366667E0,9.476314795E2,3.663081649E2
9.059050000E0,9.480156975E2,3.699368366E2
9.075733333E0,9.479002958E2,3.730030368E2
9.092416667E0,9.478777641E2,3.768714203E2
9.109100000E0,9.478579955E2,3.809671458E2
9.125783333E0,9.479343986E2,3.849065339E2
9.142466667E0,9.479470287E2,3.888340347E2
9.159150000E0,9.483087307E2,3.926846951E2
9.175833333E0,9.485038299E2,3.961108205E2
9.192516667E0,9.485326872E2,3.998329399E2
9.209200000E0,9.487551482E2,4.034358092E2
9.225883333E0,9.486893817E2,4.069185744E2
9.242566667E0,9.485625722E2,4.098913463E2
9.259250000E0,9.486357648E2,4.127612482E2
9.275933333E0,9.490201352E2,4.153677896E2
9.292616667E0,9.489477163E2,4.178452580E2
