0.004000,  0.023880, 0.032350, 1.004750,   0.050350, -0.261840, -0.328800
0.012000,  0.022180, 0.032690, 1.015630,   -0.251770, -0.196380, -0.285190
0.028000,  0.023370, 0.033040, 1.008470,   -0.100710, -0.246730, -0.258350
0.044000,  0.022130, 0.032940, 1.013370,   -0.473330, -0.251770, -0.352290
0.060000,  0.022300, 0.033000, 1.013070,   -0.377660, -0.151060, -0.405970
0.076000,  0.022410, 0.033300, 1.011540,   -0.397800, -0.181270, -0.352290
0.092000,  0.022350, 0.032880, 1.012800,   -0.120850, -0.276950, -0.291900
0.108000,  0.022410, 0.032860, 1.012150,   -0.287020, -0.241700, -0.352290
0.124000,  0.022770, 0.032900, 1.012550,   -0.412900, -0.135960, -0.127500
0.140000,  0.022280, 0.033020, 1.011090,   -0.221560, -0.206450, -0.197950
0.156000,  0.021860, 0.033150, 1.013530,   -0.266880, -0.312190, -0.130850
0.172000,  0.021840, 0.033260, 1.012420,   -0.407870, -0.065460, -0.201310
0.188000,  0.022180, 0.032200, 1.011580,   -0.191350, -0.342410, -0.369070
0.204000,  0.022320, 0.032390, 1.012710,   -0.387730, -0.191350, -0.265060
0.220000,  0.022430, 0.033110, 1.012000,   -0.241700, -0.110780, -0.312030
0.236000,  0.022790, 0.032520, 1.011940,   -0.171200, -0.221560, -0.392550
0.252000,  0.022010, 0.032790, 1.012310,   -0.322270, -0.251770, -0.301960
0.268000,  0.022280, 0.033050, 1.012460,   -0.211490, -0.166170, -0.395910
0.284000,  0.022740, 0.032620, 1.011750,   -0.367580, -0.382690, -0.291900
0.300000,  0.022720, 0.033260, 1.012540,   -0.357510, -0.216520, -0.305320
0.316000,  0.023160, 0.032650, 1.012120,   -0.236660, -0.302120, -0.338870
0.332000,  0.023100, 0.032980, 1.012020,   -0.473330, -0.352480, -0.285190
0.348000,  0.022410, 0.032920, 1.012860,   -0.508580, -0.372620, -0.305320
0.364000,  0.022240, 0.032330, 1.012120,   -0.191350, -0.181270, -0.332160
0.380000,  0.022450, 0.032710, 1.012190,   -0.251770, -0.130920, -0.231500
0.396000,  0.022580, 0.033190, 1.012080,   -0.433040, -0.176240, -0.258350
0.412000,  0.022750, 0.032730, 1.012020,   -0.236660, -0.317230, -0.241570
0.428000,  0.022240, 0.032830, 1.012250,   -0.135960, -0.266880, -0.187890
0.444000,  0.022110, 0.032900, 1.012500,   -0.105740, -0.176240, -0.372420
0.460000,  0.022370, 0.032920, 1.012570,   -0.251770, -0.211490, -0.288540
0.476000,  0.023020, 0.032370, 1.011870,   -0.392760, -0.337370, -0.254990
0.492000,  0.022090, 0.033400, 1.012440,   -0.362550, -0.080570, -0.278480
0.508000,  0.022530, 0.032520, 1.012610,   -0.181270, -0.251770, -0.392550
