mass_A
t	x	y
7.207200000E1	1.557085096E3	6.098984760E2
7.208868333E1	1.522507936E3	5.637971021E2
7.210536667E1	1.477993461E3	5.155681242E2
7.212205000E1	1.423525994E3	4.664722597E2
7.213873333E1	1.359710584E3	4.203629098E2
7.215541667E1	1.286117594E3	3.800500248E2
7.217210000E1	1.205613981E3	3.479812804E2
7.218878333E1	1.119216044E3	3.256321524E2
7.220546667E1	1.029159453E3	3.140836384E2
7.222215000E1	9.396564655E2	3.142810531E2
7.223883333E1	8.519335872E2	3.259122310E2
7.225551667E1	7.685612992E2	3.477372973E2
7.227220000E1	6.923381509E2	3.778712599E2
7.228888333E1	6.236928658E2	4.140199974E2
7.230556667E1	5.628957426E2	4.557196623E2
7.232225000E1	5.117621343E2	4.997934979E2
7.233893333E1	4.682704775E2	5.439319771E2
7.235561667E1	4.339914473E2	5.862189721E2
7.237230000E1	4.059840760E2	6.262029172E2
7.238898333E1	3.843392794E2	6.622284565E2
7.240566667E1	3.688119234E2	6.923039243E2
7.242235000E1	3.571056132E2	7.179110228E2
7.243903333E1	3.496014603E2	7.360209627E2
7.245571667E1	3.454643470E2	7.478880686E2
7.247240000E1	3.439914186E2	7.519241390E2
7.248908333E1	3.453476747E2	7.483658101E2
7.250576667E1	3.491821506E2	7.380322623E2
7.252245000E1	3.570130934E2	7.199708055E2
7.253913333E1	3.688510764E2	6.942078104E2
7.255581667E1	3.850779190E2	6.621598612E2
7.257250000E1	4.077504478E2	6.241383930E2
7.258918333E1	4.371798317E2	5.819251902E2
7.260586667E1	4.752417042E2	5.360900674E2
7.262255000E1	5.223794000E2	4.896867028E2
7.263923333E1	5.786876875E2	4.438229587E2
7.265591667E1	6.439228623E2	4.019717000E2
7.267260000E1	7.175030145E2	3.659852423E2
7.268928333E1	7.975473668E2	3.381123577E2
7.270596667E1	8.821355939E2	3.200692150E2
7.272265000E1	9.675706026E2	3.122357536E2
7.273933333E1	1.053138586E3	3.156879393E2
7.275601667E1	1.135067838E3	3.281045871E2
7.277270000E1	1.212754213E3	3.500616214E2
7.278938333E1	1.283145393E3	3.783063742E2
7.280606667E1	1.346781640E3	4.124343496E2
7.282275000E1	1.403029423E3	4.500947219E2
7.283943333E1	1.450872635E3	4.896121674E2
7.285611667E1	1.490774442E3	5.283935924E2
7.287280000E1	1.524075623E3	5.658565359E2
7.288948333E1	1.549780895E3	5.995670298E2
7.290616667E1	1.569906255E3	6.284974866E2
7.292285000E1	1.584679525E3	6.537648240E2
7.293953333E1	1.594821976E3	6.719716660E2
7.295621667E1	1.600903627E3	6.839627832E2
7.297290000E1	1.603589647E3	6.896133692E2
7.298958333E1	1.602837958E3	6.878607304E2
7.300626667E1	1.598071440E3	6.795635702E2
7.302295000E1	1.589031581E3	6.624610688E2
7.303963333E1	1.575192786E3	6.401959658E2
7.305631667E1	1.556841838E3	6.119819051E2
7.307300000E1	1.531873666E3	5.780486419E2
7.308968333E1	1.500584349E3	5.400880470E2
7.310636667E1	1.460914279E3	4.998532049E2
7.312305000E1	1.412867083E3	4.583337826E2
7.313973333E1	1.356816488E3	4.195545884E2
7.315641667E1	1.291660902E3	3.837515383E2
7.317310000E1	1.219998661E3	3.536413258E2
7.318978333E1	1.141753414E3	3.303003377E2
7.320646667E1	1.061629625E3	3.175758483E2
7.322315000E1	9.792520690E2	3.136502549E2
7.323983333E1	8.978411469E2	3.188872545E2
7.325651667E1	8.196803347E2	3.337116946E2
7.327320000E1	7.459743706E2	3.560478474E2
7.328988333E1	6.782144890E2	3.849130302E2
7.330656667E1	6.179111902E2	4.183174549E2
7.332325000E1	5.643165656E2	4.552601187E2
7.333993333E1	5.184307167E2	4.931540126E2
7.335661667E1	4.803106375E2	5.309057294E2
7.337330000E1	4.498230160E2	5.665846285E2
7.338998333E1	4.255684875E2	5.987828268E2
7.340666667E1	4.063175225E2	6.271966826E2
7.342335000E1	3.920056072E2	6.508375455E2
7.344003333E1	3.819402708E2	6.687026935E2
7.345671667E1	3.767267221E2	6.792590233E2
7.347340000E1	3.740267226E2	6.848420906E2
7.349008333E1	3.746164854E2	6.828050403E2
7.350676667E1	3.790724210E2	6.748444882E2
7.352345000E1	3.882086876E2	6.590512682E2
7.354013333E1	4.010939470E2	6.371399465E2
7.355681667E1	4.190046760E2	6.091785429E2
7.357350000E1	4.425878473E2	5.770597604E2
7.359018333E1	4.721693479E2	5.409583719E2
7.360686667E1	5.107750698E2	5.011379484E2
7.362355000E1	5.568295927E2	4.611673852E2
7.364023333E1	6.107270666E2	4.230037746E2
7.365691667E1	6.724901759E2	3.873390314E2
7.367360000E1	7.408916369E2	3.572689978E2
7.369028333E1	8.147645260E2	3.347377667E2
7.370696667E1	8.925943597E2	3.192080360E2
7.372365000E1	9.708204916E2	3.131089127E2
7.374033333E1	1.048969614E3	3.165560185E2
7.375701667E1	1.124949927E3	3.270613768E2
7.377370000E1	1.195841855E3	3.452488824E2
7.379038333E1	1.261412655E3	3.693329641E2
7.380706667E1	1.321530103E3	3.990395285E2
7.382375000E1	1.374243577E3	4.309828750E2
7.384043333E1	1.419817984E3	4.645704779E2
7.385711667E1	1.458020360E3	4.973788710E2
7.387380000E1	1.490232122E3	5.291655370E2
7.389048333E1	1.516258860E3	5.586617918E2
7.390716667E1	1.536284008E3	5.832901665E2
7.392385000E1	1.551115894E3	6.033384853E2
7.394053333E1	1.560946538E3	6.186565378E2
7.395721667E1	1.566709158E3	6.271252347E2
