mass_A
t	x	y
1.288287000E2	3.409794275E2	7.441683674E2
1.288453833E2	3.222922702E2	7.956395422E2
1.288620667E2	3.106972190E2	8.400984132E2
1.288787500E2	3.026336172E2	8.780925498E2
1.288954333E2	2.967917129E2	9.100568852E2
1.289121167E2	2.948641671E2	9.320912526E2
1.289288000E2	2.944719613E2	9.459681016E2
1.289454833E2	2.945357224E2	9.519937762E2
1.289621667E2	2.945657378E2	9.497960298E2
1.289788500E2	2.946893606E2	9.395844438E2
1.289955333E2	2.980110772E2	9.179804226E2
1.290122167E2	3.027855216E2	8.880502938E2
1.290289000E2	3.102379959E2	8.497709627E2
1.290455833E2	3.230814621E2	8.022414684E2
1.290622667E2	3.411541244E2	7.480782151E2
1.290789500E2	3.690462451E2	6.864944670E2
1.290956333E2	4.068183142E2	6.217483607E2
1.291123167E2	4.583653425E2	5.540876388E2
1.291290000E2	5.220116329E2	4.897598532E2
1.291456833E2	5.987176916E2	4.298335265E2
1.291623667E2	6.869056246E2	3.797486850E2
1.291790500E2	7.849192933E2	3.419612741E2
1.291957333E2	8.885182164E2	3.196787168E2
1.292124167E2	9.929480263E2	3.116455604E2
1.292291000E2	1.096222935E3	3.196469021E2
1.292457833E2	1.192992108E3	3.418120697E2
1.292624667E2	1.282850554E3	3.757331334E2
1.292791500E2	1.362770432E3	4.184550708E2
1.292958333E2	1.432580375E3	4.680235784E2
1.293125167E2	1.491242701E3	5.205406274E2
1.293292000E2	1.539113351E3	5.758527030E2
1.293458833E2	1.577881136E3	6.297041819E2
1.293625667E2	1.607752281E3	6.800082810E2
1.293792500E2	1.629570425E3	7.257709789E2
1.293959333E2	1.645708343E3	7.660294177E2
1.294126167E2	1.657032965E3	8.001650463E2
1.294293000E2	1.664394497E3	8.276681238E2
1.294459833E2	1.669467863E3	8.468199435E2
1.294626667E2	1.671706258E3	8.579390617E2
1.294793500E2	1.671919150E3	8.608140622E2
1.294960333E2	1.670726778E3	8.551696849E2
1.295127167E2	1.666556310E3	8.411667324E2
1.295294000E2	1.660430086E3	8.185635358E2
1.295460833E2	1.650807930E3	7.870735763E2
1.295627667E2	1.636469527E3	7.471538353E2
1.295794500E2	1.616351529E3	7.005836871E2
1.295961333E2	1.587835565E3	6.480652104E2
1.296128167E2	1.550119605E3	5.907711398E2
1.296295000E2	1.501190138E3	5.318709347E2
1.296461833E2	1.440035004E3	4.743117526E2
1.296628667E2	1.367202820E3	4.219591656E2
1.296795500E2	1.283900892E3	3.769976119E2
1.296962333E2	1.192204054E3	3.421450077E2
1.297129167E2	1.095788406E3	3.203850561E2
1.297296000E2	9.964129370E2	3.124574789E2
1.297462833E2	8.981277917E2	3.191288639E2
1.297629667E2	8.044442551E2	3.387556478E2
1.297796500E2	7.175123360E2	3.686507531E2
1.297963333E2	6.392591223E2	4.073984862E2
1.298130167E2	5.699190460E2	4.532035045E2
1.298297000E2	5.113308239E2	5.033329812E2
1.298463833E2	4.610937157E2	5.552338464E2
1.298630667E2	4.201732969E2	6.071340563E2
1.298797500E2	3.880183378E2	6.571215496E2
1.298964333E2	3.620978047E2	7.030567649E2
1.299131167E2	3.453660876E2	7.430092576E2
1.299298000E2	3.314520183E2	7.785855305E2
1.299464833E2	3.220854958E2	8.068332596E2
1.299631667E2	3.172631920E2	8.267904900E2
1.299798500E2	3.150893477E2	8.391152361E2
1.299965333E2	3.127612841E2	8.447408648E2
1.300132167E2	3.139419318E2	8.411255839E2
1.300299000E2	3.172278095E2	8.289451359E2
1.300465833E2	3.233185131E2	8.089442371E2
1.300632667E2	3.320324064E2	7.809939851E2
1.300799500E2	3.456559333E2	7.448135365E2
1.300966333E2	3.654347655E2	7.009235472E2
1.301133167E2	3.915842024E2	6.511561135E2
1.301300000E2	4.272631633E2	5.971193657E2
1.301466833E2	4.720996147E2	5.427199148E2
1.301633667E2	5.294813029E2	4.867131148E2
1.301800500E2	5.961789391E2	4.349246989E2
1.301967333E2	6.735755372E2	3.890253235E2
1.302134167E2	7.593733490E2	3.526096556E2
1.302301000E2	8.512399521E2	3.274115912E2
1.302467833E2	9.457431062E2	3.146944755E2
1.302634667E2	1.040384384E3	3.149212784E2
1.302801500E2	1.131702226E3	3.270415539E2
1.302968333E2	1.217893148E3	3.512145104E2
1.303135167E2	1.296195361E3	3.831078136E2
1.303302000E2	1.365992852E3	4.227725936E2
1.303468833E2	1.426185514E3	4.653632262E2
1.303635667E2	1.479390668E3	5.111501746E2
1.303802500E2	1.521593593E3	5.570553740E2
1.303969333E2	1.556017163E3	6.008975404E2
1.304136167E2	1.583707115E3	6.425689083E2
1.304303000E2	1.603992154E3	6.789195753E2
1.304469833E2	1.619900119E3	7.099759423E2
1.304636667E2	1.630345247E3	7.349202971E2
1.304803500E2	1.637805654E3	7.529205197E2
1.304970333E2	1.641823128E3	7.632965951E2
1.305137167E2	1.642633012E3	7.666583114E2
1.305304000E2	1.640816319E3	7.612392797E2
1.305470833E2	1.635734341E3	7.489228705E2
1.305637667E2	1.626324912E3	7.286802349E2
1.305804500E2	1.613621486E3	7.008067762E2
1.305971333E2	1.595973532E3	6.666182727E2
1.306138167E2	1.571134113E3	6.250723434E2
1.306305000E2	1.538162901E3	5.791630378E2
1.306471833E2	1.497050999E3	5.309741422E2
1.306638667E2	1.445693005E3	4.827078111E2
1.306805500E2	1.384195193E3	4.349899923E2
1.306972333E2	1.313700934E3	3.930163861E2
1.307139167E2	1.235249213E3	3.588173867E2
1.307306000E2	1.149729964E3	3.328217475E2
1.307472833E2	1.061439232E3	3.186987773E2
1.307639667E2	9.708196275E2	3.150554327E2
1.307806500E2	8.816186597E2	3.232646214E2
1.307973333E2	7.977354190E2	3.425655994E2
1.308140167E2	7.177475098E2	3.694233062E2
1.308307000E2	6.482290067E2	4.049110313E2
1.308473833E2	5.854005818E2	4.447931214E2
1.308640667E2	5.300923741E2	4.875442280E2
1.308807500E2	4.834007586E2	5.327253130E2
1.308974333E2	4.453856877E2	5.768837789E2
1.309141167E2	4.158553653E2	6.171767932E2
1.309308000E2	3.923056259E2	6.551208878E2
1.309474833E2	3.727917440E2	6.889457623E2
1.309641667E2	3.616697174E2	7.150720634E2
1.309808500E2	3.512804057E2	7.367958978E2
1.309975333E2	3.459408625E2	7.509793144E2
1.310142167E2	3.442166515E2	7.570001923E2
1.310309000E2	3.437560500E2	7.569467648E2
1.310475833E2	3.465520981E2	7.488935366E2
1.310642667E2	3.538075355E2	7.330244202E2
1.310809500E2	3.655956631E2	7.090776793E2
1.310976333E2	3.803212162E2	6.790319735E2
1.311143167E2	4.005111795E2	6.429362034E2
1.311310000E2	4.286250262E2	6.009451033E2
1.311476833E2	4.652344610E2	5.551533475E2
1.311643667E2	5.085185208E2	5.087715992E2
1.311810500E2	5.633560012E2	4.613941739E2
1.311977333E2	6.263804629E2	4.174443636E2
1.312144167E2	6.974132386E2	3.791946604E2
1.312311000E2	7.765547656E2	3.489844867E2
1.312477833E2	8.596791875E2	3.270632665E2
1.312644667E2	9.455235886E2	3.154226508E2
1.312811500E2	1.031665981E3	3.149880934E2
1.312978333E2	1.115376610E3	3.247860962E2
1.313145167E2	1.195412691E3	3.434620071E2
1.313312000E2	1.268068566E3	3.709406014E2
1.313478833E2	1.333812893E3	4.032278032E2
1.313645667E2	1.391978249E3	4.406160550E2
1.313812500E2	1.441975131E3	4.787434573E2
1.313979333E2	1.484146434E3	5.170880117E2
1.314146167E2	1.518580581E3	5.550226891E2
1.314313000E2	1.547522412E3	5.892420763E2
1.314479833E2	1.569458542E3	6.208367332E2
1.314646667E2	1.585749189E3	6.471030789E2
1.314813500E2	1.597664233E3	6.674675932E2
1.314980333E2	1.605495022E3	6.812960672E2
1.315147167E2	1.609509703E3	6.890220858E2
1.315314000E2	1.609761344E3	6.895006239E2
1.315480833E2	1.605784773E3	6.829726998E2
1.315647667E2	1.598127852E3	6.694305436E2
1.315814500E2	1.585990011E3	6.490861911E2
1.315981333E2	1.569704997E3	6.229666687E2
1.316148167E2	1.547278792E3	5.893410320E2
1.316315000E2	1.517812132E3	5.530934680E2
1.316481833E2	1.481486903E3	5.132361510E2
1.316648667E2	1.435654605E3	4.726568534E2
1.316815500E2	1.381704902E3	4.327964094E2
1.316982333E2	1.319503952E3	3.952245580E2
1.317149167E2	1.249570170E3	3.629907107E2
1.317316000E2	1.173634803E3	3.374408764E2
1.317482833E2	1.093866792E3	3.210190936E2
1.317649667E2	1.011882708E3	3.144013237E2
1.317816500E2	9.298065857E2	3.169007906E2
