mass_A
t,x,y
1.067733333E0,9.536222348E2,1.180861708E2
1.084416667E0,9.536387295E2,1.180842915E2
1.101100000E0,9.536290669E2,1.180877000E2
1.117783333E0,9.536256462E2,1.180948157E2
1.134466667E0,9.536366405E2,1.180867243E2
1.151150000E0,9.536299672E2,1.180959699E2
1.167833333E0,9.536360056E2,1.180920472E2
1.184516667E0,9.536326386E2,1.180920587E2
1.201200000E0,9.536371041E2,1.180885536E2
1.217883333E0,9.536440906E2,1.180809270E2
1.234566667E0,9.536407327E2,1.180874503E2
1.251250000E0,9.536440238E2,1.180860067E2
1.267933333E0,9.536488037E2,1.180869339E2
1.284616667E0,9.536417713E2,1.180846123E2
1.301300000E0,9.536482150E2,1.180828741E2
1.317983333E0,9.536523437E2,1.180798446E2
1.334666667E0,9.536496084E2,1.180720411E2
1.351350000E0,9.536553481E2,1.180757234E2
1.368033333E0,9.536543415E2,1.180718471E2
1.384716667E0,9.536505407E2,1.180737201E2
1.401400000E0,9.536554134E2,1.180701162E2
1.418083333E0,9.536501334E2,1.180707673E2
1.434766667E0,9.536523662E2,1.180682262E2
1.451450000E0,9.536500032E2,1.180722551E2
1.468133333E0,9.536491553E2,1.180703096E2
1.484816667E0,9.536510246E2,1.180714119E2
1.501500000E0,9.536515009E2,1.180706345E2
1.518183333E0,9.536317538E2,1.180685195E2
1.534866667E0,9.536351129E2,1.180694068E2
1.551550000E0,9.536391992E2,1.180749173E2
1.568233333E0,9.536478285E2,1.180745068E2
1.584916667E0,9.536491516E2,1.180744299E2
1.601600000E0,9.536527039E2,1.180743657E2
1.618283333E0,9.536568169E2,1.180747885E2
1.634966667E0,9.536533486E2,1.180750519E2
1.651650000E0,9.536479002E2,1.180752856E2
1.668333333E0,9.536587669E2,1.180753771E2
1.685016667E0,9.536588906E2,1.180688919E2
1.701700000E0,9.536647556E2,1.180689102E2
1.718383333E0,9.536567135E2,1.180789887E2
1.735066667E0,9.536624561E2,1.180761547E2
1.751750000E0,9.536619324E2,1.180777078E2
1.768433333E0,9.536589424E2,1.180753847E2
1.785116667E0,9.536646295E2,1.180735774E2
1.801800000E0,9.536583216E2,1.180752949E2
1.818483333E0,9.536393589E2,1.180966156E2
1.835166667E0,9.536444801E2,1.180991505E2
1.851850000E0,9.536569240E2,1.180878668E2
1.868533333E0,9.536671525E2,1.180865372E2
1.885216667E0,9.536339245E2,1.181134463E2
1.901900000E0,9.536653779E2,1.180790239E2
1.918583333E0,9.536555764E2,1.180853580E2
1.935266667E0,9.536506922E2,1.180996012E2
1.951950000E0,9.536478659E2,1.181014889E2
1.968633333E0,9.536558583E2,1.180923926E2
1.985316667E0,9.536610472E2,1.180927409E2
2.002000000E0,9.536577673E2,1.180885006E2
2.018683333E0,9.536434569E2,1.180906322E2
2.035366667E0,9.536560571E2,1.180746112E2
2.052050000E0,9.536466988E2,1.180939377E2
2.068733333E0,9.536521206E2,1.180890917E2
2.085416667E0,9.536591076E2,1.180832464E2
2.102100000E0,9.536578109E2,1.180827595E2
2.118783333E0,9.536519454E2,1.180784456E2
2.135466667E0,9.536585212E2,1.180735999E2
2.152150000E0,9.536160398E2,1.180972798E2
2.168833333E0,9.536475936E2,1.180972901E2
2.185516667E0,9.536549580E2,1.180818041E2
2.202200000E0,9.536737055E2,1.180685609E2
2.218883333E0,9.536630994E2,1.180762514E2
2.235566667E0,9.536667639E2,1.180848246E2
2.252250000E0,9.536432627E2,1.181049896E2
2.268933333E0,9.536426899E2,1.180994743E2
2.285616667E0,9.536553602E2,1.180932088E2
2.302300000E0,9.536465317E2,1.180918915E2
2.318983333E0,9.536516948E2,1.180921626E2
