mass_A
t	x	y
4.094090000E1	7.911107214E2	3.428101223E2
4.095758333E1	8.833082344E2	3.233679574E2
4.097426667E1	9.768750542E2	3.161304180E2
4.099095000E1	1.068788998E3	3.212699538E2
4.100763333E1	1.157002863E3	3.376446703E2
4.102431667E1	1.239071510E3	3.643589069E2
4.104100000E1	1.313881041E3	3.992283793E2
4.105768333E1	1.380334160E3	4.398931663E2
4.107436667E1	1.438104237E3	4.847845811E2
4.109105000E1	1.485246043E3	5.301058943E2
4.110773333E1	1.524962363E3	5.753853514E2
4.112441667E1	1.556385864E3	6.181460274E2
4.114110000E1	1.580778796E3	6.574023972E2
4.115778333E1	1.599156715E3	6.908200449E2
4.117446667E1	1.612270777E3	7.191151718E2
4.119115000E1	1.621448377E3	7.409226511E2
4.120783333E1	1.626961908E3	7.555212706E2
4.122451667E1	1.629340053E3	7.628218772E2
4.124120000E1	1.629084077E3	7.622961135E2
4.125788333E1	1.625769549E3	7.538037011E2
4.127456667E1	1.619057689E3	7.376815164E2
4.129125000E1	1.608529618E3	7.141327919E2
4.130793333E1	1.593110319E3	6.836645381E2
4.132461667E1	1.572091389E3	6.463744985E2
4.134130000E1	1.544579157E3	6.037966412E2
4.135798333E1	1.508914879E3	5.577824079E2
4.137466667E1	1.463743138E3	5.101065237E2
4.139135000E1	1.408641177E3	4.621111423E2
4.140803333E1	1.343750957E3	4.173673894E2
4.142471667E1	1.269722878E3	3.783048935E2
4.144140000E1	1.189146921E3	3.477315204E2
4.145808333E1	1.102566881E3	3.270383090E2
4.147476667E1	1.014306076E3	3.180722514E2
4.149145000E1	9.256156819E2	3.201597368E2
4.150813333E1	8.393158772E2	3.327507167E2
4.152481667E1	7.572566897E2	3.554600330E2
4.154150000E1	6.818496701E2	3.862221472E2
4.155818333E1	6.145723963E2	4.234428245E2
4.157486667E1	5.555995183E2	4.646794700E2
4.159155000E1	5.057114190E2	5.083046619E2
4.160823333E1	4.638229662E2	5.522345652E2
